row_id,energy
94993,1925.8461
94994,1839.7231
94995,1751.3452
94996,1707.6125
94997,1695.5417
94998,1695.5417
94999,1762.8557
95000,1895.2881
95001,2003.8252
95002,2063.7808
95003,2093.4597
95004,2165.5122
95005,2314.7156
95006,2411.2625
95007,2418.6235
95008,2418.6235
95009,2418.6235
95010,2418.6235
95011,2429.6057
95012,2436.4575
95013,2416.4678
95014,2401.8005
95015,2383.8647
95016,2258.6682
95017,1970.3768
95018,1866.5098
95019,1778.1318
95020,1734.3992
95021,1722.3284
95022,1722.3284
95023,1789.6423
95024,1922.0747
95025,2030.6118
95026,2090.5674
95027,2117.607
95028,2189.6594
95029,2338.8628
95030,2435.4097
95031,2442.7708
95032,2442.7708
95033,2442.7708
95034,2442.7708
95035,2448.4617
95036,2452.7856
95037,2432.796
95038,2418.1287
95039,2400.1929
95040,2275.271
95041,1970.3768
95042,1866.5098
95043,1778.1318
95044,1734.3992
95045,1722.3284
95046,1722.3284
95047,1789.6423
95048,1922.0747
95049,2030.6118
95050,2090.5674
95051,2117.607
95052,2189.6594
95053,2338.8628
95054,2435.4097
95055,2442.7708
95056,2442.7708
95057,2442.7708
95058,2442.7708
95059,2448.4617
95060,2452.7856
95061,2432.796
95062,2418.1287
95063,2400.1929
95064,2275.271
95065,1973.7686
95066,1869.9012
95067,1781.5236
95068,1737.7909
95069,1725.7198
95070,1725.7198
95071,1793.034
95072,1925.4664
95073,2034.0033
95074,2093.959
95075,2120.9985
95076,2193.051
95077,2342.2544
95078,2438.8013
95079,2446.1624
95080,2446.1624
95081,2446.1624
95082,2446.1624
95083,2451.8533
95084,2456.1772
95085,2436.1875
95086,2421.5203
95087,2403.5845
95088,2278.6626
95089,1978.8622
95090,1867.2402
95091,1778.8625
95092,1735.1299
95093,1723.0588
95094,1723.0588
95095,1773.8967
95096,1906.3291
95097,2014.866
95098,2074.8218
95099,2101.8608
95100,2173.9138
95101,2323.1172
95102,2417.6936
95103,2425.0547
95104,2425.0547
95105,2425.0547
95106,2425.0547
95107,2426.2861
95108,2430.61
95109,2410.6204
95110,2395.9531
95111,2377.7922
95112,2252.8547
95113,1958.0967
95114,1836.8468
95115,1733.2831
95116,1689.5504
95117,1673.4491
95118,1673.4491
95119,1691.8702
95120,1793.2867
95121,1901.8239
95122,1961.7799
95123,1988.8192
95124,2060.872
95125,2210.0747
95126,2304.6516
95127,2312.0127
95128,2312.0127
95129,2312.0127
95130,2312.0127
95131,2313.2441
95132,2317.568
95133,2297.5784
95134,2282.9111
95135,2264.7502
95136,2143.578
95137,1861.651
95138,1769.9802
95139,1669.083
95140,1620.759
95141,1599.8223
95142,1599.8223
95143,1628.0498
95144,1704.5557
95145,1813.0925
95146,1873.0488
95147,1902.7275
95148,1974.7805
95149,2123.9834
95150,2228.5315
95151,2235.8926
95152,2235.8926
95153,2240.5637
95154,2262.3132
95155,2318.466
95156,2330.95
95157,2310.9602
95158,2296.2932
95159,2278.3574
95160,2164.762
95161,1869.3287
95162,1783.2057
95163,1694.8279
95164,1651.0952
95165,1639.0243
95166,1639.0243
95167,1706.3384
95168,1838.7708
95169,1947.3077
95170,2007.2639
95171,2036.9426
95172,2108.995
95173,2258.1982
95174,2354.745
95175,2362.1062
95176,2362.1062
95177,2362.1062
95178,2362.1062
95179,2373.0884
95180,2379.9402
95181,2359.9504
95182,2345.2832
95183,2327.3474
95184,2202.151
95185,1884.3698
95186,1780.5026
95187,1692.1248
95188,1648.3921
95189,1636.3212
95190,1636.3212
95191,1703.6353
95192,1836.0676
95193,1944.6046
95194,2004.5608
95195,2031.6
95196,2096.321
95197,2245.5242
95198,2342.071
95199,2349.4321
95200,2349.4321
95201,2349.4321
95202,2349.4321
95203,2355.123
95204,2359.447
95205,2339.4573
95206,2324.79
95207,2306.8542
95208,2181.9324
95209,1869.6621
95210,1765.7949
95211,1677.4171
95212,1633.6844
95213,1621.6135
95214,1621.6135
95215,1688.9276
95216,1821.36
95217,1929.897
95218,1989.8531
95219,2016.8923
95220,2081.613
95221,2230.8164
95222,2327.3633
95223,2334.7244
95224,2334.7244
95225,2334.7244
95226,2334.7244
95227,2340.4153
95228,2344.7393
95229,2324.7495
95230,2310.0823
95231,2292.1465
95232,2167.2246
95233,1869.6621
95234,1765.7949
95235,1677.4171
95236,1633.6844
95237,1621.6135
95238,1621.6135
95239,1688.9276
95240,1821.36
95241,1929.897
95242,1989.8531
95243,2016.8923
95244,2081.613
95245,2230.8164
95246,2327.3633
95247,2334.7244
95248,2334.7244
95249,2334.7244
95250,2334.7244
95251,2340.4153
95252,2344.7393
95253,2324.7495
95254,2310.0823
95255,2292.1465
95256,2167.2246
95257,1873.8452
95258,1762.2234
95259,1673.8456
95260,1630.1129
95261,1618.042
95262,1618.042
95263,1668.8798
95264,1801.3121
95265,1909.8491
95266,1969.8053
95267,1996.8445
95268,2061.5654
95269,2210.7686
95270,2305.345
95271,2312.706
95272,2312.706
95273,2312.706
95274,2312.706
95275,2313.9375
95276,2318.2615
95277,2298.2717
95278,2283.6045
95279,2265.4436
95280,2140.506
95281,1853.0797
95282,1731.83
95283,1628.2661
95284,1584.5334
95285,1568.4321
95286,1568.4321
95287,1586.8534
95288,1688.2699
95289,1796.8069
95290,1856.7631
95291,1883.8022
95292,1948.5237
95293,2097.726
95294,2192.303
95295,2199.664
95296,2199.664
95297,2199.664
95298,2199.664
95299,2200.8955
95300,2205.2195
95301,2185.2297
95302,2170.5625
95303,2152.4016
95304,2031.2303
95305,1756.634
95306,1664.9634
95307,1564.066
95308,1515.7422
95309,1494.8053
95310,1494.8053
95311,1523.0328
95312,1599.5387
95313,1708.0757
95314,1768.0319
95315,1797.7106
95316,1862.432
95317,2011.6355
95318,2116.1829
95319,2123.544
95320,2123.544
95321,2128.2148
95322,2149.9644
95323,2206.1174
95324,2218.6013
95325,2198.6116
95326,2183.9446
95327,2166.0088
95328,2052.413
95329,1837.5729
95330,1751.4498
95331,1663.072
95332,1619.3394
95333,1607.2684
95334,1607.2684
95335,1674.5825
95336,1807.0149
95337,1915.5519
95338,1975.508
95339,2005.1868
95340,2069.9072
95341,2219.1106
95342,2315.6575
95343,2323.0186
95344,2323.0186
95345,2323.0186
95346,2323.0186
95347,2334.0007
95348,2340.8525
95349,2320.8628
95350,2306.1956
95351,2288.2598
95352,2163.0632
95353,1869.6621
95354,1765.7949
95355,1677.4171
95356,1633.6844
95357,1621.6135
95358,1621.6135
95359,1688.9276
95360,1821.36
95361,1929.897
95362,1989.8531
95363,2016.8923
95364,2081.613
95365,2230.8164
95366,2327.3633
95367,2334.7244
95368,2334.7244
95369,2334.7244
95370,2334.7244
95371,2340.4153
95372,2344.7393
95373,2324.7495
95374,2310.0823
95375,2292.1465
95376,2167.2246
95377,1869.6621
95378,1765.7949
95379,1677.4171
95380,1633.6844
95381,1621.6135
95382,1621.6135
95383,1688.9276
95384,1821.36
95385,1929.897
95386,1989.8531
95387,2016.8923
95388,2081.613
95389,2230.8164
95390,2327.3633
95391,2334.7244
95392,2334.7244
95393,2334.7244
95394,2334.7244
95395,2340.4153
95396,2344.7393
95397,2324.7495
95398,2310.0823
95399,2292.1465
95400,2167.2246
95401,1869.6621
95402,1765.7949
95403,1677.4171
95404,1633.6844
95405,1621.6135
95406,1621.6135
95407,1688.9276
95408,1821.36
95409,1929.897
95410,1989.8531
95411,2016.8923
95412,2081.613
95413,2230.8164
95414,2327.3633
95415,2334.7244
95416,2334.7244
95417,2334.7244
95418,2334.7244
95419,2340.4153
95420,2344.7393
95421,2324.7495
95422,2310.0823
95423,2292.1465
95424,2167.2246
95425,1873.8452
95426,1762.2234
95427,1673.8456
95428,1630.1129
95429,1618.042
95430,1618.042
95431,1668.8798
95432,1801.3121
95433,1909.8491
95434,1969.8053
95435,1996.8445
95436,2061.5654
95437,2210.7686
95438,2305.345
95439,2312.706
95440,2312.706
95441,2312.706
95442,2312.706
95443,2313.9375
95444,2318.2615
95445,2298.2717
95446,2283.6045
95447,2265.4436
95448,2140.506
95449,1853.0797
95450,1731.83
95451,1628.2661
95452,1584.5334
95453,1568.4321
95454,1568.4321
95455,1586.8534
95456,1688.2699
95457,1796.8069
95458,1856.7631
95459,1883.8022
95460,1948.5237
95461,2097.726
95462,2192.303
95463,2199.664
95464,2199.664
95465,2199.664
95466,2199.664
95467,2200.8955
95468,2205.2195
95469,2185.2297
95470,2170.5625
95471,2152.4016
95472,2031.2303
95473,1728.2568
95474,1636.5862
95475,1568.5782
95476,1520.2544
95477,1499.3175
95478,1499.3175
95479,1527.545
95480,1604.0509
95481,1712.5879
95482,1772.5441
95483,1802.2228
95484,1866.9442
95485,1956.1022
95486,2027.5691
95487,2034.9302
95488,2034.9302
95489,2039.6014
95490,2061.3508
95491,2117.5027
95492,2129.9868
95493,2109.997
95494,2109.997
95495,2092.0613
95496,1993.8444
95497,1809.1957
95498,1723.0726
95499,1667.5842
95500,1623.8516
95501,1611.7806
95502,1611.7806
95503,1679.0947
95504,1811.5271
95505,1920.0641
95506,1980.0203
95507,2009.699
95508,2074.4194
95509,2163.5774
95510,2227.0435
95511,2234.4045
95512,2234.4045
95513,2234.4045
95514,2234.4045
95515,2245.3867
95516,2252.2385
95517,2232.2488
95518,2232.2488
95519,2214.313
95520,2104.4937
95521,1835.5952
95522,1731.728
95523,1676.2396
95524,1632.507
95525,1620.436
95526,1620.436
95527,1687.7501
95528,1820.1825
95529,1928.7195
95530,1988.6757
95531,2015.7148
95532,2080.4355
95533,2169.5935
95534,2233.0596
95535,2240.4207
95536,2240.4207
95537,2240.4207
95538,2240.4207
95539,2246.1116
95540,2250.4355
95541,2230.4458
95542,2230.4458
95543,2212.51
95544,2102.9653
95545,1827.689
95546,1723.8218
95547,1668.3334
95548,1624.6007
95549,1612.5298
95550,1612.5298
95551,1679.8439
95552,1812.2762
95553,1920.8132
95554,1980.7694
95555,2007.8086
95556,2072.5295
95557,2161.6875
95558,2225.1536
95559,2232.5146
95560,2232.5146
95561,2232.5146
95562,2232.5146
95563,2238.2056
95564,2242.5295
95565,2222.5398
95566,2222.5398
95567,2204.604
95568,2095.0593
95569,1808.04
95570,1704.1729
95571,1648.6844
95572,1604.9518
95573,1592.8809
95574,1592.8809
95575,1660.195
95576,1792.6273
95577,1901.1643
95578,1961.1205
95579,1988.1597
95580,2052.8806
95581,2142.0386
95582,2205.5046
95583,2212.8657
95584,2212.8657
95585,2212.8657
95586,2212.8657
95587,2218.5566
95588,2222.8806
95589,2202.8909
95590,2202.8909
95591,2184.955
95592,2092.723
95593,1809.5247
95594,1697.9028
95595,1642.4144
95596,1598.6818
95597,1586.6108
95598,1586.6108
95599,1637.4486
95600,1769.881
95601,1878.418
95602,1938.3741
95603,1965.4133
95604,2030.1348
95605,2119.2922
95606,2177.7656
95607,2185.1267
95608,2185.1267
95609,2185.1267
95610,2185.1267
95611,2186.3582
95612,2190.6821
95613,2170.6924
95614,2170.6924
95615,2152.5315
95616,2060.2837
95617,1788.7592
95618,1667.5094
95619,1596.835
95620,1553.1023
95621,1537.001
95622,1537.001
95623,1555.4222
95624,1656.8387
95625,1765.3757
95626,1825.3319
95627,1852.3711
95628,1917.0925
95629,2006.2505
95630,2064.7239
95631,2072.085
95632,2072.085
95633,2072.085
95634,2072.085
95635,2073.3162
95636,2077.6401
95637,2057.6501
95638,2057.6501
95639,2039.4891
95640,1951.0074
95641,1690.6246
95642,1607.0404
95643,1539.0325
95644,1490.7086
95645,1469.7717
95646,1469.7717
95647,1497.9993
95648,1574.5051
95649,1683.0421
95650,1742.9983
95651,1772.677
95652,1837.3984
95653,1926.5564
95654,1998.0233
95655,2005.3844
95656,2005.3844
95657,2010.0557
95658,2031.8049
95659,2076.5095
95660,2088.9937
95661,2069.0037
95662,2069.0037
95663,2051.068
95664,1970.1633
95665,1771.5635
